DATE,CPIAUCNS,GDP,VIXCLS
2000-01-03,168.8,10002.179,24.21
2000-01-04,168.8,10002.179,27.01
2000-01-05,168.8,10002.179,26.41
2000-01-06,168.8,10002.179,25.73
2000-01-07,168.8,10002.179,21.72
2000-01-10,168.8,10002.179,21.71
2000-01-11,168.8,10002.179,22.5
2000-01-12,168.8,10002.179,22.84
2000-01-13,168.8,10002.179,21.71
2000-01-14,168.8,10002.179,19.66
2000-01-17,168.8,10002.179,19.66
2000-01-18,168.8,10002.179,21.5
2000-01-19,168.8,10002.179,21.72
2000-01-20,168.8,10002.179,21.75
2000-01-21,168.8,10002.179,20.82
2000-01-24,168.8,10002.179,24.07
2000-01-25,168.8,10002.179,23.02
2000-01-26,168.8,10002.179,23.03
2000-01-27,168.8,10002.179,23.54
2000-01-28,168.8,10002.179,26.14
2000-01-31,168.8,10002.179,24.95
2000-02-01,169.8,10002.179,23.45
2000-02-02,169.8,10002.179,23.12
2000-02-03,169.8,10002.179,22.01
2000-02-04,169.8,10002.179,21.54
2000-02-07,169.8,10002.179,22.79
2000-02-08,169.8,10002.179,21.25
2000-02-09,169.8,10002.179,22.9
2000-02-10,169.8,10002.179,23.07
2000-02-11,169.8,10002.179,24.42
2000-02-14,169.8,10002.179,24.38
2000-02-15,169.8,10002.179,22.92
2000-02-16,169.8,10002.179,23.51
2000-02-17,169.8,10002.179,23.17
2000-02-18,169.8,10002.179,26.0
2000-02-21,169.8,10002.179,26.0
2000-02-22,169.8,10002.179,25.86
2000-02-23,169.8,10002.179,23.89
2000-02-24,169.8,10002.179,24.38
2000-02-25,169.8,10002.179,25.2
2000-02-28,169.8,10002.179,24.68
2000-02-29,169.8,10002.179,23.37
2000-03-01,171.2,10002.179,21.64
2000-03-02,171.2,10002.179,21.06
2000-03-03,171.2,10002.179,19.21
2000-03-06,171.2,10002.179,21.5
2000-03-07,171.2,10002.179,24.31
2000-03-08,171.2,10002.179,23.82
2000-03-09,171.2,10002.179,22.21
2000-03-10,171.2,10002.179,21.24
2000-03-13,171.2,10002.179,22.85
2000-03-14,171.2,10002.179,24.41
2000-03-15,171.2,10002.179,22.34
2000-03-16,171.2,10002.179,20.77
2000-03-17,171.2,10002.179,22.37
2000-03-20,171.2,10002.179,22.96
2000-03-21,171.2,10002.179,21.7
2000-03-22,171.2,10002.179,21.49
2000-03-23,171.2,10002.179,22.26
2000-03-24,171.2,10002.179,23.31
2000-03-27,171.2,10002.179,24.53
2000-03-28,171.2,10002.179,24.86
2000-03-29,171.2,10002.179,24.1
2000-03-30,171.2,10002.179,25.47
2000-03-31,171.2,10002.179,24.11
2000-04-01,171.3,10247.72,24.11
2000-04-03,171.3,10247.72,24.03
2000-04-04,171.3,10247.72,27.12
2000-04-05,171.3,10247.72,28.41
2000-04-06,171.3,10247.72,27.15
2000-04-07,171.3,10247.72,24.39
2000-04-10,171.3,10247.72,25.99
2000-04-11,171.3,10247.72,27.25
2000-04-12,171.3,10247.72,28.98
2000-04-13,171.3,10247.72,29.4
2000-04-14,171.3,10247.72,33.49
2000-04-17,171.3,10247.72,28.95
2000-04-18,171.3,10247.72,26.12
2000-04-19,171.3,10247.72,27.02
2000-04-20,171.3,10247.72,25.85
2000-04-21,171.3,10247.72,25.85
2000-04-24,171.3,10247.72,27.37
2000-04-25,171.3,10247.72,25.24
2000-04-26,171.3,10247.72,26.97
2000-04-27,171.3,10247.72,26.19
2000-04-28,171.3,10247.72,26.2
2000-05-01,171.5,10247.72,25.88
2000-05-02,171.5,10247.72,28.5
2000-05-03,171.5,10247.72,31.63
2000-05-04,171.5,10247.72,30.77
2000-05-05,171.5,10247.72,27.53
2000-05-08,171.5,10247.72,28.2
2000-05-09,171.5,10247.72,28.93
2000-05-10,171.5,10247.72,29.87
2000-05-11,171.5,10247.72,27.76
2000-05-12,171.5,10247.72,26.05
2000-05-15,171.5,10247.72,24.86
2000-05-16,171.5,10247.72,24.34
2000-05-17,171.5,10247.72,23.98
2000-05-18,171.5,10247.72,23.96
2000-05-19,171.5,10247.72,25.44
2000-05-22,171.5,10247.72,26.0
2000-05-23,171.5,10247.72,25.87
2000-05-24,171.5,10247.72,24.32
2000-05-25,171.5,10247.72,24.58
2000-05-26,171.5,10247.72,24.47
2000-05-29,171.5,10247.72,24.47
2000-05-30,171.5,10247.72,23.62
2000-05-31,171.5,10247.72,23.65
2000-06-01,172.4,10247.72,22.36
2000-06-02,172.4,10247.72,21.48
2000-06-05,172.4,10247.72,22.71
2000-06-06,172.4,10247.72,23.05
2000-06-07,172.4,10247.72,22.48
2000-06-08,172.4,10247.72,22.77
2000-06-09,172.4,10247.72,22.14
2000-06-12,172.4,10247.72,22.32
2000-06-13,172.4,10247.72,21.67
2000-06-14,172.4,10247.72,21.48
2000-06-15,172.4,10247.72,20.68
2000-06-16,172.4,10247.72,20.5
2000-06-19,172.4,10247.72,20.63
2000-06-20,172.4,10247.72,20.88
2000-06-21,172.4,10247.72,20.61
2000-06-22,172.4,10247.72,22.0
2000-06-23,172.4,10247.72,22.34
2000-06-26,172.4,10247.72,22.45
2000-06-27,172.4,10247.72,21.8
2000-06-28,172.4,10247.72,20.29
2000-06-29,172.4,10247.72,19.7
2000-06-30,172.4,10247.72,19.54
2000-07-01,172.8,10318.165,19.54
2000-07-03,172.8,10318.165,19.83
2000-07-04,172.8,10318.165,19.83
2000-07-05,172.8,10318.165,21.16
2000-07-06,172.8,10318.165,20.94
2000-07-07,172.8,10318.165,19.22
2000-07-10,172.8,10318.165,20.33
2000-07-11,172.8,10318.165,20.11
2000-07-12,172.8,10318.165,20.03
2000-07-13,172.8,10318.165,20.03
2000-07-14,172.8,10318.165,19.32
2000-07-17,172.8,10318.165,19.45
2000-07-18,172.8,10318.165,19.75
2000-07-19,172.8,10318.165,19.65
2000-07-20,172.8,10318.165,18.94
2000-07-21,172.8,10318.165,18.94
2000-07-24,172.8,10318.165,19.92
2000-07-25,172.8,10318.165,19.39
2000-07-26,172.8,10318.165,19.67
2000-07-27,172.8,10318.165,19.6
2000-07-28,172.8,10318.165,20.84
2000-07-31,172.8,10318.165,20.74
2000-08-01,172.8,10318.165,20.55
2000-08-02,172.8,10318.165,20.0
2000-08-03,172.8,10318.165,19.99
2000-08-04,172.8,10318.165,18.62
2000-08-07,172.8,10318.165,19.03
2000-08-08,172.8,10318.165,18.79
2000-08-09,172.8,10318.165,19.18
2000-08-10,172.8,10318.165,19.19
2000-08-11,172.8,10318.165,18.55
2000-08-14,172.8,10318.165,17.88
2000-08-15,172.8,10318.165,17.98
2000-08-16,172.8,10318.165,18.02
2000-08-17,172.8,10318.165,17.48
2000-08-18,172.8,10318.165,17.05
2000-08-21,172.8,10318.165,17.35
2000-08-22,172.8,10318.165,17.47
2000-08-23,172.8,10318.165,17.38
2000-08-24,172.8,10318.165,17.04
2000-08-25,172.8,10318.165,16.53
2000-08-28,172.8,10318.165,16.54
2000-08-29,172.8,10318.165,16.89
2000-08-30,172.8,10318.165,17.69
2000-08-31,172.8,10318.165,16.84
2000-09-01,173.7,10318.165,17.53
2000-09-04,173.7,10318.165,17.53
2000-09-05,173.7,10318.165,19.82
2000-09-06,173.7,10318.165,20.79
2000-09-07,173.7,10318.165,19.42
2000-09-08,173.7,10318.165,18.46
2000-09-11,173.7,10318.165,18.4
2000-09-12,173.7,10318.165,18.59
2000-09-13,173.7,10318.165,18.32
2000-09-14,173.7,10318.165,18.26
2000-09-15,173.7,10318.165,18.52
2000-09-18,173.7,10318.165,20.25
2000-09-19,173.7,10318.165,19.54
2000-09-20,173.7,10318.165,19.93
2000-09-21,173.7,10318.165,20.18
2000-09-22,173.7,10318.165,20.74
2000-09-25,173.7,10318.165,21.41
2000-09-26,173.7,10318.165,21.88
2000-09-27,173.7,10318.165,21.67
2000-09-28,173.7,10318.165,19.47
2000-09-29,173.7,10318.165,20.57
2000-10-01,174.0,10435.744,20.57
2000-10-02,174.0,10435.744,21.23
2000-10-03,174.0,10435.744,21.85
2000-10-04,174.0,10435.744,21.54
2000-10-05,174.0,10435.744,21.03
2000-10-06,174.0,10435.744,22.71
2000-10-09,174.0,10435.744,24.02
2000-10-10,174.0,10435.744,24.86
2000-10-11,174.0,10435.744,26.57
2000-10-12,174.0,10435.744,30.51
2000-10-13,174.0,10435.744,27.6
2000-10-16,174.0,10435.744,26.79
2000-10-17,174.0,10435.744,27.84
2000-10-18,174.0,10435.744,28.72
2000-10-19,174.0,10435.744,25.09
2000-10-20,174.0,10435.744,24.24
2000-10-23,174.0,10435.744,24.69
2000-10-24,174.0,10435.744,24.28
2000-10-25,174.0,10435.744,26.65
2000-10-26,174.0,10435.744,28.62
2000-10-27,174.0,10435.744,26.47
2000-10-30,174.0,10435.744,25.46
2000-10-31,174.0,10435.744,23.63
2000-11-01,174.1,10435.744,24.28
2000-11-02,174.1,10435.744,23.92
2000-11-03,174.1,10435.744,23.67
