DATE,USD,JPY,GBP,EUR,CAD,CHF,AUD,NZD,NOK,SEK
2000-01-01,3.99,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-02,3.99,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-03,5.43,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-04,5.38,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-05,5.41,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-06,5.54,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-07,5.61,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-08,5.61,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-09,5.61,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-10,5.74,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-11,5.63,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-12,5.59,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-13,5.58,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-14,5.56,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-15,5.56,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-16,5.56,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-17,5.56,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-18,5.83,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-19,5.47,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-20,5.44,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-21,5.36,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-22,5.36,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-23,5.36,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-24,5.53,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-25,5.46,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-26,5.52,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-27,5.61,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-28,5.58,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-29,5.58,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
2000-01-30,5.58,0.02053,6.13632,2.0,5.025,1.72924735,5.66,5.68,5.88,3.57
